County,Budgetary Allocation,Expenditure,Absorption %,No. of MCAs andSpeaker,Average monthly sitting allowance Per MCA (Kshs),FYear,CID
Baringo,50207630,49864462,99.3,49,84804,2015-2016,30
Bomet,28296015,28296015,100,35,67371,2015-2016,36
Bungoma,105704600,71419180,67.6,64,92994,2015-2016,39
Busia,114816000,98926596,86.2,54,152665,2015-2016,40
Elgeyo Marakwet,41496000,41495999,100,31,111548,2015-2016,28
Embu,38592669,36529898,94.7,34,89534,2015-2016,14
Garissa,80906400,75970850,93.9,49,129202,2015-2016,7
Homa Bay,129322306,114192000,88.3,64,148688,2015-2016,43
Isiolo,16758400,16673316,99.5,21,66164,2015-2016,11
Kajiado,66326400,37498500,56.5,42,74402,2015-2016,34
Kakamega,142485600,106731136,74.9,88,101071,2015-2016,37
Kericho,77068503,71097114,92.3,48,123432,2015-2016,35
Kiambu,100000000,100000000,100,88,94697,2015-2016,22
Kilifi,83194800,65035700,78.2,55,98539,2015-2016,3
Kirinyaga,61526400,37436000,60.8,30,103989,2015-2016,20
Kisii,90411955,133338048,147.5,72,154326,2015-2016,45
Kisumu,113710659,60348300,53.1,50,100581,2015-2016,42
Kitui,63626000,59197747,93,57,86546,2015-2016,15
Kwale,39794470,38049852,95.6,34,93259,2015-2016,2
Laikipia,32100000,31516200,98.2,24,109431,2015-2016,31
Lamu,24102400,21486400,89.1,21,85263,2015-2016,5
Machakos,69028000,60993900,88.4,60,84714,2015-2016,16
Makueni,51390000,52354830,101.9,48,90894,2015-2016,17
Mandera,50000000,49686062,99.4,49,84500,2015-2016,9
Marsabit,40000000,39999917,100,34,98039,2015-2016,10
Meru,123972445,100700610,81.2,70,119882,2015-2016,12
Migori,126883200,72050332,56.8,63,95305,2015-2016,44
Mombasa,97843200,57435200,58.7,43,111309,2015-2016,1
Muranga,117734000,49782782,42.3,50,82971,2015-2016,21
Nairobi ,152270700,122041420,80.1,128,79454,2015-2016,47
Nakuru,87455000,79599414,91,75,88444,2015-2016,32
Nandi,65400000,58703900,89.8,49,99837,2015-2016,29
Narok,52213292,45228100,86.6,48,78521,2015-2016,33
Nyamira,67775430,67775430,100,34,166116,2015-2016,46
Nyandarua,66364927,68158594,102.7,42,135235,2015-2016,18
Nyeri,97857600,64156300,65.6,48,111382,2015-2016,19
Samburu,42968290,44661374,103.9,27,137844,2015-2016,25
Siaya,86221838,69470881,80.6,49,118148,2015-2016,41
Taita Taveta,58060800,31445700,54.2,36,72791,2015-2016,6
Tana River,55702400,28307880,50.8,27,87370,2015-2016,4
Tharaka –Nithi,34923600,23923600,68.5,25,79745,2015-2016,13
Trans Nzoia,78124800,75448000,96.6,40,157183,2015-2016,26
Turkana,64900000,34596900,53.3,48,60064,2015-2016,23
Uasin Gishu,41320300,41320300,100,45,76519,2015-2016,27
Vihiga,108549088,89263894,82.2,40,185966,2015-2016,38
Wajir,60220000,42121090,69.9,45,78002,2015-2016,8
West Pokot,52288628,52288628,100,33,132042,2015-2016,24
Baringo,38703598,38470858,99.4,49,65427,2016-2017,30
Bomet,30904230,30801530,99.7,36,71300,2016-2017,36
Bungoma,68808000,72268114,105,64,94099,2016-2017,39
Busia,107827201,70680174,65.5,54,109074,2016-2017,40
Elgeyo Marakwet,37496000,37495999,100,31,100796,2016-2017,28
Embu,28009000,29100453,103.9,34,71325,2016-2017,14
Garissa,87000000,78750800,90.5,49,133930,2016-2017,7
Homa Bay,126313600,100001220,79.2,64,130210,2016-2017,43
Isiolo,16215936,16215841,100,21,64349,2016-2017,11
Kajiado,66440344,22291100,33.6,42,44228,2016-2017,34
Kakamega,169674400,107881111,63.6,88,102160,2016-2017,37
Kericho,64399769,64399769,100,48,111805,2016-2017,35
Kiambu,103000000,102998348,100,88,97536,2016-2017,22
Kilifi,80712000,48740601,60.4,54,75217,2016-2017,3
Kirinyaga,62000000,36047900,58.1,30,100133,2016-2017,20
Kisii,94411955,90641000,96,72,104909,2016-2017,45
Kisumu,86050000,39178000,45.5,50,65297,2016-2017,42
Kitui,42788600,43065643,100.6,57,62961,2016-2017,15
Kwale,55216000,45115825,81.7,34,110578,2016-2017,2
Laikipia,31984000,29158665,91.2,24,101245,2016-2017,31
Lamu,20841400,20152222,96.7,21,79969,2016-2017,5
Machakos,65472714,48608100,74.2,60,67511,2016-2017,16
Makueni,47500000,49336323,103.9,48,85653,2016-2017,17
Mandera,63000000,21307139,33.8,49,36237,2016-2017,9
Marsabit,33500000,33482683,99.9,34,82065,2016-2017,10
Meru,104991600,94884000,90.4,70,112957,2016-2017,12
Migori,93783200,61281600,65.3,63,81060,2016-2017,44
Mombasa,81151324,48400353,59.6,43,93799,2016-2017,1
Murang’a,74609600,71473557,95.8,49,121554,2016-2017,21
Nairobi City,88047218,88047217,100,128,57322,2016-2017,47
Nakuru,61000000,91962340,150.8,75,102180,2016-2017,32
Nandi,73382400,58846300,80.2,49,100079,2016-2017,29
Narok,71510400,36608520,51.2,48,63556,2016-2017,33
Nyamira,68812800,25092400,36.5,34,61501,2016-2017,46
Nyandarua,35629600,35380986,99.3,42,70200,2016-2017,18
Nyeri,88857600,48017000,54,48,83363,2016-2017,19
Samburu,49785600,26613200,53.5,27,82140,2016-2017,25
Siaya,68684697,62683075,91.3,49,106604,2016-2017,41
Taita Taveta,65436800,33109700,50.6,36,76643,2016-2017,6
Tana River,44990400,19651241,43.7,27,60652,2016-2017,4
Tharaka Nithi,26660000,18015414,67.6,25,60051,2016-2017,13
Trans Nzoia,0,0,0,0,0,2016-2017,26
Turkana,0,0,,0,0,2016-2017,23
Uasin Gishu,61560000,43637100,70.9,45,80809,2016-2017,27
Vihiga,10330000,10330000,100,40,21521,2016-2017,38
Wajir,70361200,24635500,35,46,44630,2016-2017,8
West Pokot,46907060,46907060,100,33,118452,2016-2017,24
